minimizedAffinity,name,RFScoreVS_v2
-9.00445,ZINC000191583186,6.02678023938
-8.98741,ZINC000191583186,5.97287915503
-8.92642,ZINC000191583186,6.10238581776
-8.83957,ZINC000191583186,5.95405036712
-8.77504,ZINC000191583186,5.99674990393
-8.59565,ZINC000191583186,6.05408967291
-8.49355,ZINC000191583186,5.96760487633
-8.39225,ZINC000191583186,5.98127223533
-8.38045,ZINC000191583186,5.987940277
-8.72718,ZINC000159533726,5.99769917082
-8.70365,ZINC000159533726,6.02866004861
-8.61857,ZINC000159533726,6.00994735052
-8.50469,ZINC000159533726,5.97426350844
-8.22618,ZINC000159533726,5.98157571431
-8.22353,ZINC000159533726,6.00915505287
-8.16187,ZINC000159533726,6.02522365918
-7.97618,ZINC000159533726,5.96928325308
-7.91043,ZINC000159533726,5.97721454483
-9.57924,ZINC000151228439,6.01693925315
-9.56248,ZINC000151228439,6.01362843515
-9.54436,ZINC000151228439,5.99394113155
-9.49151,ZINC000151228439,5.98969150624
-9.40193,ZINC000151228439,6.06571685838
-9.36969,ZINC000151228439,6.0046753293
-9.34511,ZINC000151228439,5.99658854603
-9.26851,ZINC000151228439,6.04390445665
-8.97172,ZINC000151228439,5.98015919194
-8.68735,ZINC000291023493,6.09990520175
-8.31655,ZINC000291023493,6.12659319487
-8.25853,ZINC000291023493,6.11355162161
-7.88926,ZINC000291023493,6.10151232549
-7.88402,ZINC000291023493,6.15486239048
-7.79254,ZINC000291023493,6.1440038032
-7.72720,ZINC000291023493,6.07884985925
-7.34259,ZINC000291023493,6.11936144574
-7.30094,ZINC000291023493,6.10393774431
-8.74577,ZINC000593577820,5.96976807079
-8.45288,ZINC000593577820,5.98719298114
-8.12721,ZINC000593577820,5.98240722613
-8.08831,ZINC000593577820,5.95956902403
-7.92931,ZINC000593577820,5.95589925891
-7.86119,ZINC000593577820,5.96150625957
-7.78404,ZINC000593577820,5.95361705181
-7.68700,ZINC000593577820,5.95907348415
-7.67703,ZINC000593577820,5.95025144143
-9.01156,ZINC000642686331,6.08260826903
-8.98870,ZINC000642686331,6.11332110413
-8.33936,ZINC000642686331,6.02423414337
-8.33451,ZINC000642686331,6.06031142838
-8.32835,ZINC000642686331,6.04672048993
-8.29553,ZINC000642686331,6.06855665571
-8.16354,ZINC000642686331,6.01733875245
-7.96954,ZINC000642686331,6.00349966753
-7.87865,ZINC000642686331,6.08158148835
-8.83853,ZINC000378200657,6.01699877376
-8.72989,ZINC000378200657,5.97568497747
-8.69359,ZINC000378200657,5.99547932726
-8.63211,ZINC000378200657,6.00434235332
-8.10829,ZINC000378200657,5.98751745624
-8.08845,ZINC000378200657,5.97460797589
-8.08251,ZINC000378200657,5.99517899334
-8.07017,ZINC000378200657,6.00296850924
-7.64907,ZINC000378200657,5.98995836607
-8.72097,ZINC000293604393,6.02754156366
-8.56578,ZINC000293604393,5.98195069762
-8.17347,ZINC000293604393,6.0441961615
-8.14021,ZINC000293604393,6.01235018613
-7.99234,ZINC000293604393,6.01616277942
-7.96788,ZINC000293604393,5.96133626707
-7.88775,ZINC000293604393,5.9821172113
-7.81044,ZINC000293604393,6.00201017928
-7.79564,ZINC000293604393,6.04159624168
-9.67742,ZINC000365834982,6.07799214535
-9.54010,ZINC000365834982,6.02356688966
-9.10721,ZINC000365834982,5.9578836398
-9.05643,ZINC000365834982,5.97922825523
-8.99275,ZINC000365834982,5.98530834076
-8.54265,ZINC000365834982,5.98230617663
-8.35206,ZINC000365834982,5.99541477411
-8.27066,ZINC000365834982,5.98069577459
-8.25272,ZINC000365834982,5.97478602727
-9.82800,ZINC000640099740,5.95524575749
-9.77378,ZINC000640099740,5.95348718335
-9.76533,ZINC000640099740,5.95359429394
-9.51602,ZINC000640099740,5.95
-9.45296,ZINC000640099740,5.96462806111
-9.28201,ZINC000640099740,5.95
-9.17211,ZINC000640099740,5.95620925619
-8.99842,ZINC000640099740,5.95424418714
-8.66747,ZINC000640099740,5.95363910216
-9.48684,ZINC000495211316,5.98356157214
-9.44887,ZINC000495211316,5.98252182153
-9.35629,ZINC000495211316,5.97596588331
-9.34026,ZINC000495211316,5.97161819892
-9.26204,ZINC000495211316,5.98744136769
-9.11491,ZINC000495211316,5.99192030541
-8.92988,ZINC000495211316,6.05333636215
-8.87313,ZINC000495211316,6.01995087906
-8.79635,ZINC000495211316,5.96886725222
-10.38145,ZINC000367970677,6.01761890885
-10.31143,ZINC000367970677,6.00248797073
-10.30119,ZINC000367970677,6.01356770114
-10.28868,ZINC000367970677,6.01298068015
-10.06269,ZINC000367970677,6.03336621497
-10.01325,ZINC000367970677,6.00602428988
-9.43900,ZINC000367970677,6.00917250478
-9.03521,ZINC000367970677,6.01748002281
-8.99404,ZINC000367970677,6.00963592638
-8.20675,ZINC000155613934,6.0099785726
-8.02710,ZINC000155613934,6.06723992191
-7.96365,ZINC000155613934,6.03628859308
-7.95687,ZINC000155613934,6.0464707319
-7.65441,ZINC000155613934,6.05456967779
-7.60740,ZINC000155613934,6.03155612306
-7.55594,ZINC000155613934,6.03554792597
-7.55162,ZINC000155613934,6.00116572406
-7.49463,ZINC000155613934,5.98535063764
-8.85933,ZINC000488230856,6.00146678893
-8.73453,ZINC000488230856,6.02038564517
-8.47459,ZINC000488230856,5.99613635903
-8.44737,ZINC000488230856,5.98183642702
-8.44254,ZINC000488230856,5.97306733465
-7.95994,ZINC000488230856,5.98056577461
-7.91951,ZINC000488230856,5.97951779842
-7.55605,ZINC000488230856,6.02168972933
-7.46140,ZINC000488230856,5.9950592949
-8.54677,ZINC000067715288,6.00937749993
-8.45302,ZINC000067715288,6.03196724829
-8.06685,ZINC000067715288,6.01372606668
-7.76121,ZINC000067715288,6.01892285995
-7.67664,ZINC000067715288,6.07604227872
-7.65054,ZINC000067715288,5.99423325349
-7.58899,ZINC000067715288,6.10637354267
-7.57962,ZINC000067715288,6.03760754748
-7.51279,ZINC000067715288,6.02647450027
-9.43736,ZINC000613759362,6.18452904443
-9.39514,ZINC000613759362,6.25432532736
-9.39338,ZINC000613759362,6.08694967789
-9.24580,ZINC000613759362,6.08436116265
-8.60677,ZINC000613759362,6.17022718774
-8.58047,ZINC000613759362,6.04236998596
-8.52362,ZINC000613759362,6.12285033717
-8.29826,ZINC000613759362,6.07167953455
-8.21903,ZINC000613759362,6.09016044566
-8.99568,ZINC000480496068,5.99497235269
-8.90198,ZINC000480496068,6.04900767961
-8.76919,ZINC000480496068,6.00567808676
-8.74448,ZINC000480496068,5.98902955952
-8.63455,ZINC000480496068,5.96508923994
-8.40624,ZINC000480496068,5.99601634297
-8.17048,ZINC000480496068,6.01729208344
-8.07981,ZINC000480496068,5.9882359837
-8.00994,ZINC000480496068,5.98120173991
-8.80449,ZINC000352657646,5.9898172909
-8.65569,ZINC000352657646,5.96654570156
-8.37827,ZINC000352657646,5.99152096114
-8.36218,ZINC000352657646,5.97944271566
-7.97270,ZINC000352657646,5.95797367725
-7.96199,ZINC000352657646,6.01379123313
-7.79333,ZINC000352657646,5.96862063164
-7.76710,ZINC000352657646,5.9597748228
-7.64804,ZINC000352657646,5.9909186552
-9.67138,ZINC000302699560,6.07180585146
-9.40932,ZINC000302699560,6.0759170332
-9.20084,ZINC000302699560,6.03313331784
-8.70627,ZINC000302699560,6.09066840142
-8.67530,ZINC000302699560,6.06823266951
-8.61557,ZINC000302699560,6.03774098181
-8.51832,ZINC000302699560,6.08695761241
-8.47867,ZINC000302699560,6.07118110925
-8.41267,ZINC000302699560,6.10216669858
-8.98661,ZINC000475202287,6.05340580105
-8.53173,ZINC000475202287,6.03804659621
-8.46710,ZINC000475202287,5.99689623994
-8.26580,ZINC000475202287,6.05252916433
-8.21881,ZINC000475202287,6.00382537837
-8.08994,ZINC000475202287,6.01859157942
-8.06540,ZINC000475202287,6.06972532977
-7.90095,ZINC000475202287,6.03362472803
-7.75395,ZINC000475202287,6.03319047777
-10.15908,ZINC000521570499,5.98236082487
-9.98173,ZINC000521570499,5.99817861176
-9.48045,ZINC000521570499,5.98500312518
-9.38814,ZINC000521570499,5.98689271623
-9.20485,ZINC000521570499,6.05025091679
-9.15506,ZINC000521570499,5.97391627162
-9.14764,ZINC000521570499,5.97098940725
-8.90815,ZINC000521570499,5.99534965829
-8.86459,ZINC000521570499,5.98959065623
-9.40939,ZINC000080960073,6.11386943159
-9.20374,ZINC000080960073,6.08998315047
-8.80453,ZINC000080960073,5.99195649794
-8.75295,ZINC000080960073,6.04053675312
-8.74372,ZINC000080960073,6.04291474685
-8.63487,ZINC000080960073,6.12904880972
-8.59080,ZINC000080960073,6.05335781894
-8.56122,ZINC000080960073,6.0896500055
-8.56072,ZINC000080960073,5.98636581128
-9.02514,ZINC000159509070,6.05844220834
-8.62419,ZINC000159509070,6.03481938233
-8.41910,ZINC000159509070,6.01531392747
-8.31281,ZINC000159509070,5.99971661356
-8.22118,ZINC000159509070,6.03230137301
-8.08416,ZINC000159509070,5.97958892551
-7.96200,ZINC000159509070,6.02951131822
-7.93925,ZINC000159509070,6.00329212363
-7.90933,ZINC000159509070,5.99792424828
-9.51573,ZINC000450557088,6.00648549891
-9.46954,ZINC000450557088,5.99554537567
-9.30923,ZINC000450557088,5.98109822475
-8.90410,ZINC000450557088,5.99429045499
-8.86092,ZINC000450557088,6.0133670268
-8.84016,ZINC000450557088,6.00846364376
-8.82561,ZINC000450557088,6.01686577226
-8.70233,ZINC000450557088,5.97295802611
-8.49995,ZINC000450557088,5.9882321367
-9.51001,ZINC000359552375,6.07113721813
-9.49152,ZINC000359552375,5.98783913264
-9.38583,ZINC000359552375,6.03652399309
-8.98874,ZINC000359552375,6.01144621996
-8.67244,ZINC000359552375,6.00498718248
-8.26191,ZINC000359552375,6.0579839949
-8.19744,ZINC000359552375,6.01827160069
-7.93583,ZINC000359552375,5.99023133494
-7.77731,ZINC000359552375,5.95845144143
-8.03066,ZINC000270959340,5.96559650984
-7.86555,ZINC000270959340,5.97466365173
-7.74626,ZINC000270959340,5.97136671027
-7.63526,ZINC000270959340,5.95
-7.57896,ZINC000270959340,5.95873505475
-7.54368,ZINC000270959340,5.9561
-7.40821,ZINC000270959340,5.9726903526
-7.39428,ZINC000270959340,5.99669898725
-7.37079,ZINC000270959340,5.98988578712
-8.11863,ZINC000265162697,6.00134489968
-8.08929,ZINC000265162697,5.9756752703
-8.07004,ZINC000265162697,5.98611172559
-7.97670,ZINC000265162697,5.99235055544
-7.94869,ZINC000265162697,5.99728488923
-7.90887,ZINC000265162697,6.03726351549
-7.72370,ZINC000265162697,5.98942494602
-7.62978,ZINC000265162697,6.02743413056
-7.59639,ZINC000265162697,5.97047124678
-7.88231,ZINC000345765694,6.00334644696
-7.60287,ZINC000345765694,6.02520413244
-7.41349,ZINC000345765694,5.9665321031
-7.31721,ZINC000345765694,6.03713874582
-7.24395,ZINC000345765694,5.98239155395
-7.08156,ZINC000345765694,5.99284100365
-7.07998,ZINC000345765694,5.98952620599
-7.06354,ZINC000345765694,5.99834165339
-7.03165,ZINC000345765694,5.97661137879
-9.24469,ZINC000452104081,5.99925765668
-8.84411,ZINC000452104081,6.03303962919
-8.77270,ZINC000452104081,6.05009618734
-8.65479,ZINC000452104081,6.06768037502
-8.57795,ZINC000452104081,6.10939477531
-8.44918,ZINC000452104081,5.99159952116
-8.21578,ZINC000452104081,6.0017589693
-8.13617,ZINC000452104081,6.0242725304
