minimizedAffinity,name,RFScoreVS_v2
-7.87106,ZINC000329284591 5.47,6.01702495128
-7.80748,ZINC000329284591 5.47,6.04989300993
-7.57337,ZINC000329284591 5.47,6.0018732428
-7.48706,ZINC000329284591 5.47,6.01849673239
-7.48084,ZINC000329284591 5.47,6.01215099509
-7.36756,ZINC000329284591 5.47,5.99652697433
-7.36591,ZINC000329284591 5.47,6.0200605153
-7.35304,ZINC000329284591 5.47,6.02151099583
-7.29086,ZINC000329284591 5.47,6.01187584556
-8.16223,ZINC000329284591 5.47,6.00495343549
-7.92160,ZINC000329284591 5.47,6.0109727969
-7.81107,ZINC000329284591 5.47,6.01324940741
-7.66564,ZINC000329284591 5.47,6.03425179963
-7.57206,ZINC000329284591 5.47,6.02643819883
-7.53735,ZINC000329284591 5.47,5.99949129617
-7.28771,ZINC000329284591 5.47,6.03459074184
-7.18524,ZINC000329284591 5.47,6.04584968306
-7.17838,ZINC000329284591 5.47,6.01397497615
-7.08626,ZINC000329926945 -19.21,5.97193498782
-7.05978,ZINC000329926945 -19.21,5.96150655296
-6.97708,ZINC000329926945 -19.21,5.95137654433
-6.90875,ZINC000329926945 -19.21,5.95036153656
-6.87317,ZINC000329926945 -19.21,5.9546503186
-6.83448,ZINC000329926945 -19.21,5.95973650099
-6.82621,ZINC000329926945 -19.21,5.95012645653
-6.79183,ZINC000329926945 -19.21,5.95
-6.65494,ZINC000329926945 -19.21,5.95296359655
-7.41903,ZINC000329926945 -19.21,5.95268066431
-6.95817,ZINC000329926945 -19.21,5.96787427401
-6.94441,ZINC000329926945 -19.21,5.95
-6.91795,ZINC000329926945 -19.21,5.95
-6.84176,ZINC000329926945 -19.21,5.95626771653
-6.66710,ZINC000329926945 -19.21,5.96290800429
-6.63621,ZINC000329926945 -19.21,5.95
-6.60665,ZINC000329926945 -19.21,5.95
-6.60377,ZINC000329926945 -19.21,5.9541
-8.31082,ZINC000352070883 26.58,5.97390795161
-8.09358,ZINC000352070883 26.58,5.98613326669
-7.76253,ZINC000352070883 26.58,6.01163602069
-7.51507,ZINC000352070883 26.58,5.95405246
-7.27609,ZINC000352070883 26.58,5.99904214931
-7.18462,ZINC000352070883 26.58,5.97359004846
-7.12533,ZINC000352070883 26.58,5.96695045528
-7.09119,ZINC000352070883 26.58,5.99397438198
-6.93083,ZINC000352070883 26.58,5.9892770456
-10.60204,ZINC000356154072 -2.64,6.07280834518
-10.20670,ZINC000356154072 -2.64,6.0876612642
-10.15246,ZINC000356154072 -2.64,6.0587592911
-10.08409,ZINC000356154072 -2.64,6.00921900106
-9.67555,ZINC000356154072 -2.64,5.98062818473
-9.46187,ZINC000356154072 -2.64,6.1118558669
-9.38530,ZINC000356154072 -2.64,5.99103238019
-9.14213,ZINC000356154072 -2.64,6.02651195526
-9.13792,ZINC000356154072 -2.64,6.04277772685
-10.94002,ZINC000356154072 -2.64,6.04626002169
-10.59495,ZINC000356154072 -2.64,6.01659890526
-10.30815,ZINC000356154072 -2.64,6.026843144
-10.18852,ZINC000356154072 -2.64,6.01126791244
-10.17910,ZINC000356154072 -2.64,6.05283981894
-10.14046,ZINC000356154072 -2.64,6.05436969243
-10.00622,ZINC000356154072 -2.64,6.05237593748
-9.87246,ZINC000356154072 -2.64,6.01002732288
-9.68649,ZINC000356154072 -2.64,6.03255382623
-10.95559,ZINC000356154072 -2.64,6.05601003274
-10.59055,ZINC000356154072 -2.64,6.01990164817
-10.19618,ZINC000356154072 -2.64,6.03966003478
-10.14255,ZINC000356154072 -2.64,6.06714591917
-10.03552,ZINC000356154072 -2.64,6.03846724825
-9.97663,ZINC000356154072 -2.64,6.05973403667
-9.91508,ZINC000356154072 -2.64,6.00214231965
-9.69853,ZINC000356154072 -2.64,5.99885713939
-9.66610,ZINC000356154072 -2.64,6.0350868846
-10.56153,ZINC000356154072 -2.64,6.06678793152
-10.52985,ZINC000356154072 -2.64,6.06976382306
-10.45045,ZINC000356154072 -2.64,6.09689292605
-10.12023,ZINC000356154072 -2.64,5.99027764167
-10.07254,ZINC000356154072 -2.64,6.05703379092
-9.99730,ZINC000356154072 -2.64,6.05646621079
-9.86002,ZINC000356154072 -2.64,6.01117624577
-9.81365,ZINC000356154072 -2.64,6.01651085895
-9.29122,ZINC000356154072 -2.64,6.07135007441
-10.57221,ZINC000356154072 -2.64,6.12265011312
-10.40790,ZINC000356154072 -2.64,6.06373612336
-10.27794,ZINC000356154072 -2.64,6.07986135264
-10.08804,ZINC000356154072 -2.64,6.04211845564
-10.07318,ZINC000356154072 -2.64,6.02874061505
-10.01412,ZINC000356154072 -2.64,6.12963081502
-9.85116,ZINC000356154072 -2.64,6.01177620317
-9.82283,ZINC000356154072 -2.64,6.05210200145
-9.46855,ZINC000356154072 -2.64,5.98458072089
-9.96040,ZINC000298731694 -19.34,5.97601790092
-9.93425,ZINC000298731694 -19.34,5.98274339492
-9.32393,ZINC000298731694 -19.34,5.99644470933
-9.26266,ZINC000298731694 -19.34,6.00889175941
-9.20964,ZINC000298731694 -19.34,5.99368996445
-9.19114,ZINC000298731694 -19.34,5.98996889979
-9.11207,ZINC000298731694 -19.34,5.96509588002
-8.97613,ZINC000298731694 -19.34,5.98107637999
